(5.97465,-6.98723e-15)
(3.37108,-8.49719e-15)
(-2.50765,-2.95922e-15)
(-6.12473,1.16058e-14)
(-7.07636,4.68578e-15)
(-5.49014,1.17352e-14)
(-1.85009,9.99613e-15)
(2.65629,-2.58744e-15)
(6.456,-1.1705e-14)
(7.36455,-2.34177e-14)
(-8.10663,1.14055e-14)
(-13.9124,1.88531e-14)
(-14.867,2.5856e-14)
(-12.4878,3.01961e-14)
(-6.74329,2.63189e-14)
(0.543305,3.98032e-16)
(5.97465,-1.18105e-14)
(7.36455,-2.03777e-14)
(2.0159,-1.67379e-14)
(-15.3696,9.25755e-16)
(-18.0448,5.28124e-15)
(-17.4259,1.7414e-14)
(-8.22106,-4.38111e-16)
(4.18461,-3.40589e-15)
(8.02889,-1.96471e-14)
(5.62589,-1.14337e-15)
(-0.990992,-3.54268e-15)
(-9.39322,1.76942e-15)
(-18.0448,3.89009e-15)
(-23.3155,1.71172e-14)
(-20.6711,2.98293e-14)
(6.68389,1.02343e-15)
(15.1632,-1.2172e-14)
(10.0206,-2.93736e-14)
(3.14693,-7.8341e-16)
(-5.12246,-1.17652e-15)
(-12.7035,9.90604e-15)
(-17.4259,1.41127e-14)
(-20.6711,3.09617e-14)
(11.7281,-1.53019e-14)
(31.8563,-2.50671e-14)
(18.2039,-2.88683e-14)
(7.78778,-1.41497e-14)
(0.00783948,3.8772e-15)
(-7.07636,7.79069e-15)
(-12.4878,2.94981e-14)
(-8.22106,-3.23103e-16)
(6.68389,9.83259e-16)
(31.8563,-3.07999e-14)
(24.2311,-1.08432e-15)
(11.6856,-5.33496e-15)
(3.78575,7.1671e-15)
(-2.07253,1.7723e-15)
(-6.309,3.01385e-15)
(-8.563,2.1705e-14)
(4.18461,-3.53232e-15)
(15.1632,-1.22314e-14)
(18.2039,-2.67404e-14)
(11.6856,-5.47573e-15)
(5.22168,-1.45147e-15)
(0.673138,9.77989e-15)
(-2.24983,2.03966e-15)
(-3.09984,5.42776e-15)
(-1.59466,9.63555e-15)
(8.02889,-1.89824e-14)
(10.0206,-2.63748e-14)
(7.78778,-1.21228e-14)
(3.78575,7.79912e-15)
(0.673138,9.39348e-15)
(-0.86769,1.26299e-14)
(-0.662003,6.77698e-16)
(1.17894,-3.27905e-15)
(4.23627,-1.22379e-14)
(5.62589,2.13319e-15)
(3.14693,9.16077e-16)
(0.00783948,3.96905e-15)
(-2.07253,2.11725e-15)
(-2.24983,3.24838e-15)
(-0.662003,4.09772e-15)
(1.97476,-2.58068e-15)
(4.60459,-2.55309e-15)
(6.10827,-6.5294e-15)
(-0.990992,-1.4883e-15)
(-5.12246,-1.70818e-15)
(-7.07636,9.89956e-15)
(-6.309,4.93039e-15)
(-3.09984,7.29299e-15)
(1.17894,-1.49608e-15)
(4.60459,-3.88034e-15)
(5.67148,-7.7134e-15)
(3.51078,-1.04148e-14)
(-9.39322,6.57348e-15)
(-12.7035,9.91187e-15)
(-12.4878,3.03526e-14)
(-8.563,2.38605e-14)
(-1.59466,1.06116e-14)
(4.23627,-1.26992e-14)
(6.10827,-7.41627e-15)
(3.51078,-9.53863e-15)
(-2.8961,-1.90749e-15)
(-10.5969,3.45774e-15)
(-10.1783,8.30525e-15)
(-5.1189,5.76038e-15)
(4.18461,-1.91766e-15)
